開學	kai1//xue2	verb school opens; term begins 九月一日開學。 Jiǔyuè yī rì kāixué. The term will begin on September 1.
剛	gang1	adjective firm; strong; unyielding; indomitable (opp. 柔) 以柔剋剛 yǐróukègāng overcome hardness with softness 他的性情太剛。 Tā de xìngqíng tài gāng. He has a very strong character.  adverb 1 just; exactly; precisely 這雙鞋大小剛合適。 Zhè shuāng xié dàxiǎo gāng héshì. This pair of shoes is just the right size (or fits perfectly). 2 barely; only; just; no more than 剛到八點。 gāng dào bā diǎn. It’s just eight o’clock. 他剛十八歲, 有了選舉權。 Tā gāng shíbā suì, yǒu le xuǎnjǔquán. He just turned 18 and has the right to vote. 3 only a short while ago; just 她剛走。 Tā gāng zǒu. She just left. 她剛來過。 Tā gāng lái guò. She was here just now.
改天	gai3tian1	adverb some other day; another day 改天再商量 gǎitiān zài shāngliang talk it over another day 改天見！ Gǎitiān jiàn! See you later.
無聊	wu2liao2	adjective 1 bored 整天呆在家裡, 他感到無聊透了。 Zhěngtiān dāi zài jiālǐ, tā gǎndào wúliáo tòu le. He felt very bored at home all day long. 2 senseless; silly; stupid 不要講這種無聊的話。 Bùyào jiǎng zhèzhǒng wúliáo de huà. Don’t make such silly remarks.
煙火	yan1huo3	noun 1 smoke and fire 動煙火 dòng yānhuǒ light a fire and cook 嚴禁煙火。 Yánjìn yānhuǒ. Smoking or lighting fires strictly forbidden. 2 cooked food 煙火食 yānhuǒshí cooked food 不食人間煙火 bù shí rénjiān yānhuǒ do not eat cooked food—live the life of an immortal 3 literary flames of war; warfare 4 dated descendents 絕了煙火 juéleyānhuǒ have no male offspring; be sonless
跨年	kua4nian2	1 to step into the new year 2 New Year
種類	zhong3lei4	noun kind; type; variety 種類繁多 zhǒnglèi fánduō a great variety 不同種類的刀具 Bùtóng zhǒnglèi de dāojù different kinds of knives
價錢	jia4qian5	noun price 價錢公道 jiàqian gōngdào fair (or decent, reasonable) price 講價錢 jiǎng jiàqian haggle over the price; bargain 價錢在漲。 Jiàqian zài zhǎng. The prices are rising. 西紅柿什麼價錢？ Xīhóngshì shénme jiàqian？ How much are the tomatoes? 這張書桌你是什麼價錢買的？ Zhè zhāng shūzhuō nǐ shì shénme jiàqian mǎi de？ What price did you pay for this desk?
感覺	gan3jue2	noun sense perception; sensation; feeling 概念同感覺的區別 Gàiniàn tóng gǎnjué de qūbié the difference between concepts and perceptions 他給人以親切的感覺。 Tā gěi rén yǐ qīnqiè de gǎnjué. He gives the impression of being a kind man.  verb feel; perceive; become aware of; realise 感覺別扭 gǎnjué bièniu feel awkward 感覺有點兒冷 gǎnjué yǒudiǎnr lěng feel a bit cold 感覺渾身無力 gǎnjué húnshēn wúlì feel weak all over 感覺到問題的嚴重性 gǎnjué dào wèntí de yánzhòngxìng become aware of the seriousness of the matter 你感覺怎麼樣？ Nǐ gǎnjué zěnmeyàng？ How do you feel?
雞排	ji1pai2	1 chicken breast 2 chicken cutlet
口	kou3	noun 1 mouth (of a human being or animal) 張口 zhāngkǒu open one’s mouth 2 opening; mouth; entrance; exit 瓶口 píngkǒu mouth of a bottle 碗口 wǎnkǒu rim of a bowl 胡同口 hú·tòng kǒu entrance of an alley 信箱口 xìnxiāng kǒu slit of a letter box 3 [usu. in place names] gateway of the Great Wall 張家口 zhāng jiākǒu Zhangjiakou (in Hebei Province) 4 cut; hole; crack 衣服撕了個口。 yīfu sī le ge kǒu. A hole was torn in the jacket. 茶碗缺了個口。 Cháwǎn quē le ge kǒu. The rim of the teacup is chipped. 5 edge of a knife, etc.; blade 刀捲口了。 Dāo juǎn kǒu le. The edge of the knife is turned. 6 age of a draft animal 六歲口 Liù suì kǒu six years of age 這匹馬口還輕。 Zhè pǐ mǎ kǒu hái qīng. This horse is still young. 7 branch of government organs; departments 文教口 Wénjiào kǒu departments of cultural and educational affairs 8 one's taste See 25080320口輕kou3qing1口輕;25091072口重kou3zhong4 口重  measure word 1 [for family members, pigs, knives, etc.] 三口豬 sān kǒu zhū three pigs 一口井 yī kǒu jǐng a well 一家五口人 yī jiā wǔ kǒu rén a family of five 吸一口氣 Xī yī kǒu qì take a breath 被狗咬了一口 bèi gǒu yǎo le yī kǒu get bitten by a dog 說一口漂亮的北京話 shuō yī kǒu piàoliang de Běijīnghuà speak excellent Beijing dialect 2 mouthful 只吃了一口飯 zhǐ chī le yī kǒu fàn have only a mouthful of meal
紅茶	hong2cha2	noun black tea See 26283008綠茶lv4cha2綠茶
元宵節	Yuan2xiao1jie2	Lantern Festival (15th of the 1st lunar month)
孔廟	Kong3miao4	Confucian temple
校外	xiao4wai4	noun outside school; outside the school campus; off campus 住校外 zhù xiàowài not live on the school campus
教學	jiao1//xue2	verb teach school; teach
碰到	peng4dao4	1 to come across 2 to run into 3 to meet 4 to hit
水煎包	shui3jian1bao1	noun lightly fried Chinese stuffed bread
// 3.4 - 2
祖先	zu3xian1	noun ancestry; ancestors; forebears; forefathers
移民	yi2min2	noun emigrant; immigrant 非法移民 fēi fǎ yí mín illegal immigrants  verb (-//-) 1 migrate; emigrate; immigrate 2 relocate; resettle 三峽移民工程 Sān Xiá yímín gōngchéng relocation (or resettlement) project of the Three Gorges area
當中	dang1zhong1	noun 1 in the middle; in the centre 坐在主席臺當中 Zuò zài zhǔxítái dāngzhōng be seated in the centre of the rostrum 河當中水流最急。 Hé dāngzhōng shuǐliú zuì jí. The current is swiftest in the middle of the river. 2 among 從工人當中 Cóng gōngrén dāngzhōng from among the workers
根據	gen1ju4	noun basis; grounds; foundation 毫無根據 Háowú gēnjù utterly groundless 科學根據 kēxué gēnjù scientific basis 說話要有根據。 Shuōhuà yào yǒu gēnjù. One should avoid making assertions without good grounds.  preposition on the basis of; according to; in the light of; in line with 根據公報的精神 gēnjù gōngbào de jīngshén in the spirit of the communique 根據這樣的考慮 Gēnjù zhèyàng de kǎolǜ in line with these considerations 根據具體情況制訂計劃 gēnjù jùtǐ qíngkuàng zhìdìng jìhuà make a plan in the light of specific conditions 根據同名小說拍攝的影片 gēnjù tóngmíng xiǎoshuō pāishè de yǐngpiàn a film based on the novel of the same title 根據天氣預報, 明天要下雨。 Gēnjù tiānqì yùbào, míngtiān yào xià yǔ. According to the weather forecast, it’s going to rain tomorrow.
農曆	nong2li4	noun traditional Chinese calendar; lunar calendar (opp. 公曆)
農業	nong2ye4	noun agriculture; farming
農人	nong2ren2	noun dated farmer
難得	nan2de2	adjective 1 hard to come by; rare 難得的好機會 nándé de hǎo jīhuì a rare chance 這種草藥很難得。 Zhèzhǒng cǎoyào hěn nándé. This medicinal herb is hard to come by. 像他這樣的人很難得。 Xiàng tā zhèyàng de rén hěn nándé. There aren’t many like him. 他在一年之內兩次打破世界紀錄, 實在難得。 Tā zài yī nián zhīnèi liǎng cì dǎpò shìjiè jìlù, shízài nándé. He’s performed the rare feat of breaking a world record twice in one year. 2 seldom; rarely 她千年難得看書。 Tā qiānnián nándé kàn shū. She seldom, if ever, reads a book. 我們難得見面, 你多呆一會兒吧。 Wǒmennándé jiànmiàn, nǐ duō dāi yīhuìr ba. Do stay a bit longer, we seldom have a chance to get together.
祭祖	ji4zu3	sacrifice to ancestors
拜	bai4	verb 1 do obeisance 遙拜 yáobài worship from a distance 2 pay a courtesy call 回拜 huíbài pay a return visit 3 congratulate (on a specific occasion); salute See 17097728拜年bai4nian2拜年 4 visit; pay a visit 拜街坊 bài jiēfang visit one’s neighbours 5 confer a title on sb.; appoint 拜相 bàixiàng confer the title of Prime Minister on; appoint as Prime Minister 6 acknowledge sb. as one's master, godfather, etc. 我拜他為師學鋼琴。 Wǒ bài tā wéi shī xué gāngqín. I studied the piano with him. 7 polite [used before a verb to show respect] 拜謝 bàixiè express one's thanks
神	shen2	noun 1 god; deity; divinity; immortal 神鬼 shén-guǐ gods and ghosts 諸神 Zhū shén gods 命運之神 mìngyùn zhī shén the god of fortune 2 spirit; mind 耗神 hào shén take up one’s energy 雙目有神 shuāngmù yǒushén have a pair of piercing eyes 3 expression; look 眼神 yǎnshén expression in one’s eyes  adjective 1 supernatural; magical; miraculous 神投手 shén tóushǒu sharpshooter (in basketball); superb shooter (or scorer) 2 dialect smart; clever 這孩子真神！ Zhè háizi zhēn shén! What a smart child! 這家伙神了！ Zhè jiāhuo shén le! This fellow is incredible!
蚊蟲	wen2chong2	noun mosquito
戴	dai4	verb 1 put on; wear 戴眼鏡 dài yǎnjìng wear glasses 戴上手套 Dài shàng shǒutào put on one’s gloves 2 respect; honour 愛戴 àidài love and respect  noun (Dài) a surname
香包	xiang1bao1	noun pouch (small bag used by women)
掛	gua4	verb 1 hang; put up 把地圖掛在牆上。 Bǎ dìtú guà zài qiáng shàng. Put (or Hang) the map up on the wall. 2 remain unsettled; unresolved 這件事還掛著呢。 zhè jiàn shì hái guà zhene. The matter has not been settled yet. 3 hang up; ring off 你先別掛, 等我查一下。 Nǐ xiān bié guà, děng wǒ chá yīxià. Hold the line while I find out. 我還沒有來得及問他名字, 他就把電話掛了。 Wǒ hái méiyǒu láidejí wèn tā míngzi, tā jiù bǎ diànhuà guà le. He hung up (or rang off) before I could ask his name. 4 call (or phone, ring) up; put through to 我會再給他掛電話。 Wǒ huì zài gěi tā guà diànhuà. I’ll ring him again. 5 hitch; get caught; snag 她的衣服給釘子掛住了。 Tā de yīfu gěi dīngzi guà zhù le. Her dress got caught on a nail. 6 be concerned about 掛在心上 guà zài xīn shàng keep sth. in mind; be on one’s mind 7 covered (or coated) with 他臉上掛了一層塵土。 Tā liǎnshàng guà le yī céng chéntǔ. His face was covered with dust. 8 register (at a hospital, etc.) 我要掛外科。 Wǒ yào guà wàikē. I want to register for surgery. or Surgery, please. 9 stay (online) 她成天掛在網上。 Tā chéngtiān guà zài wǎng shàng. She is online the whole day.  measure word set or string (of objects) 一掛大車 Yī guà dà chē a horse and cart 一掛珠子 yī guà zhūzi a string of pearls 十多掛鞭炮 shí duō guà biānpào a dozen strings of firecrackers
瘟疫	wen1yi4	noun pestilence
做法	zuo4fa5	noun way of doing things; course of action; practice 習慣做法 xíguàn zuòfa habitual practice; habit 這種做法已經很普遍了。 Zhèzhǒng zuòfǎ yǐjing hěn pǔbiàn le. This has become common practice. 他現在的做法是行不通的。 Tā xiànzài de zuòfǎ shì xíngbutōng de. His present course of action will get him nowhere.
多少	duo1shao5	pronoun 1 how many; how much 這藥我每次吃多少？ Zhè yào wǒ měi cì chī duōshao？ How much of the medicine do I take each time? 這一班有多少學生？ Zhè yī bān yǒu duōshao xuésheng？ How many pupils are there in this class? 這裡的糧食畝產量是多少？ Zhèlǐ de liángshi mǔchǎnliàng shì duōshao？ What is the per mu yield of grain here? 2 [expressing an unspecified amount or number] 我知道多少說多少。 Wǒ zhīdao duōshao shuō duōshao. I’ll tell all I know. 我跟你說過不知多少次了。 Wǒ gēn nǐ shuō guò bù zhī duōshao cì le. How many times I’ve told you! or I’ve already told you many times.
作用	zuo4yong4	noun 1 action; function 化學作用 huàxué zuòyòng chemical action 心臟的作用 xīnzàng de zuòyòng the function of the heart; coronary function 2 effect 起作用 qǐ zuòyòng be effective 不起作用 bù qǐ zuòyòng ineffective; unworkable 起積極作用 qǐ jījí zuòyòng play a positive role 3 purpose; intention; motive 他說那句話有什麼作用？ Tā shuō nà jù huà yǒu shénme zuòyòng？ What did he say that for? 他那樣說是有他的作用的。 Tā nàyàng shuō shì yǒu tā de zuòyòng de. He said that with a motive.  verb act on; affect 外界事物作用於我們的感官, 在我們的頭腦中形成印象。 Wàijiè shìwù zuòyòng yú wǒmen de gǎnguān, zài wǒmen de tóunǎo zhōng xíngchéng yìnxiàng. External events act on our sense organs and create impressions in our brain.
迷信	mi2xin4	noun 1 superstition; superstitious belief 迷信思想 míxìn sīxiǎng superstitious beliefs 2 blind faith; blind worship 個人迷信 gèrén míxìn worship of the individual; hero worship 破除迷信思想 pòchú míxìn sīxiǎng do away with fetishes and superstitions  verb have blind faith in; make a fetish of 迷信權威 míxìn quánwēi have blind faith in authority; worship authority 迷信書本 míxìn shūběn book worship
收成	shou1cheng5	noun harvest; crop 收成不好 shōucheng bù hǎo poor harvests; crop failures 從來沒有過的好收成 cónglái méiyǒu guò de hǎo shōucheng a record harvest 奪得秋季作物的好收成 duódé qiūjì zuòwù de hǎo shōucheng reap a good autumn harvest
民族	min2zu2	noun nation; nationality; ethnic group 民族大家庭 mínzú dàjiātíng large family of ethnic groups 民族雜居地區 mínzú zájū dìqū multi-national area; multi-ethnic region 國內各民族的團結 guónèi gè mínzú de tuánjié unity of our various ethnic groups
月亮	yue4liang5	noun moon 月亮門 yuèliangmén moon gate 月亮地兒 yuèliangdìr place where there is moonlight; moonlit spot 月亮出來了。 yuèliang chūlai le. The moon comes out (or has risen).
圓	yuan2	noun 1 mathematics circle; sphere; ring 計算圓的面積 jìsuàn yuán de miànji work out the area of a circle 2 coin of fixed value and weight 銀圓 yínyuán silver dollar  verb make plausible; justify 好夢難圓。 hǎo mèng nán yuán. Good dreams seldom come true.  adjective 1 round; circular; spherical 眼睜得滴溜圓 Yǎn zhēng de dīliuyuán open one’s eyes wide 月圓了。 Yuè yuán le. The moon is full. See 76490979圓銼yuan2cuo4圓銼;76500707圓孔yuan2kong3圓孔 2 tactful; satisfactory 他這話說得不圓。 Tā zhè huà shuō de bù yuán. What he said was not very tactful. 3 (of a voice) sweet and agreeable See 78124259字正腔圓zi4zheng4qiang1yuan2字正腔圓  measure word yuan (monetary unit of China, equal to 10 jiao or 100 fen)
社會	she4hui4	noun society; community 國際社會 guójì shèhuì international community 人類社會 rénlèi shèhuì human society
團聚	tuan2ju4	verb 1 reunite 夫妻團聚 fūqī tuánjù couple reunion 全家團聚 Quánjiā tuánjù family reunion 2 unite and gather
